0;US;Martha's Vineyard;96.0;235;California;Napa Valley;Napa;Cabernet Sauvignon;Heitz
1;France;Vieilles Vignes;89.0;13;Alsace;Alsace;;Sylvaner;Boeckel
2;US;Reserve;87.0;8;Clifornia;California;California;Pinot Grigio;Oak
3;Argentina;Chairman's Blend Malbec-Cabarnet Sauvignon-Syrah;88.0;20;Mendoza Province;Mendoza;;Red Blend;Cruz Alta
4;Chile;Gran Reserva de Los Andes;87.0;15;Maipo Valley;;;Cebernet Sauvignon;Santa Alicia
5;France;Petit Clos;88.0;27;Loire Valley;Anjou Villages;;Cabernet Franc;Musset-Roullier
6;Argentina;Gran Las Divas Vineyard;92.0;30;Mendoza Province;Mendoza;;Malbec;Riglos
7;France;Les Blanchots Grand Cru;94.0;86;Burgundy;Chablis;;Chardonnay;Domaine Laroche
8;US;Fire Red Wine;89.0;24;Washington;Walla Walla Valley;;Red Blend;Sparkling Pointe
9;US;Topaz Imperial Rose;90.0;37;New York;North Fork of Long Island;Long Island;Champagne Blend;Sparkling Pointe
10;Italy;Cerivolo;89.0;45;Tuscany;Toscana;;Red Blend;San Fabiano Calcinai